"property name","property city","property state","zip code","property type","property subtype","year built","total units","occupancy %","monthly rent per unit","uw noi","most recent noi","appraised value","latitude","longitude","gross_rent_median","household_income_median","housing_units_occupancy_status_total_count","housing_units_occupied_count","state_name","cap_rate","cap_rate_rank_state","median_rent","rent_perc_diff","rent_affordability_ratio","rent_affordability_percentile","State Occupancy Rate"
"Country Club Vista","Flagstaff","AZ","86004","Multifamily","Garden","1986",132,"0.985","1498","1515526.4","1345708","29000000","35.21394","-111.57638","1431","76872",3142443,2796790,"Arizona","0.04640372413793103448","37","1534.0182556619718310","-0.02347967863422130211","0.23384327193256322198","0.6428571428571429","0.89000500565960941853"
"Omnia On Thomas","Phoenix","AZ","85016","Multifamily","Garden","1964",382,"0.895","1149","3460370.84","3229183","70000000","33.48013","-112.04623","1431","76872",3142443,2796790,"Arizona","0.04613118571428571429","38","1534.0182556619718310","-0.25098674949981326844","0.17936309709647205745","0.2857142857142857","0.89000500565960941853"
"Village At Aspen Place","Flagstaff","AZ","86001","Multifamily","Mid Rise","2015",222,"0.964","2208.75","4219189.16","4174467.49","90500000","35.1913","-111.6439","1431","76872",3142443,2796790,"Arizona","0.04612671259668508287","39","1534.0182556619718310","0.43984596783488898463","0.34479394317827037153","0.9428571428571428","0.89000500565960941853"
"San Portella Apartments","Tempe","AZ","85282","Multifamily","Garden","2008",308,"0.961","1959.51","5205336.23","4981372.06","108000000","33.40418","-111.96385","1431","76872",3142443,2796790,"Arizona","0.04612381537037037037","40","1534.0182556619718310","0.27737071756973098552","0.30588666874804870434","0.9","0.89000500565960941853"
"The Crossings On Grande","Tucson","AZ","85745","Multifamily","Garden","1982",144,"0.91","935.99","889717.22","824834.95","18000000","32.22666","-110.98912","1431","76872",3142443,2796790,"Arizona","0.04582416388888888889","41","1534.0182556619718310","-0.38984428865476955712","0.14611145800811738995","0.11428571428571428","0.89000500565960941853"
"Clarendon Park Apartments","Phoenix","AZ","85013","Multifamily","Garden","2002",138,"0.783","1581.71","1858774.65","1690339.89","37000000","33.49154","-112.07685","1431","76872",3142443,2796790,"Arizona","0.04568486189189189189","42","1534.0182556619718310","0.03108942423729360764","0.24691070871058382766","0.7571428571428571","0.89000500565960941853"
"Legacy Pines (f/k/a Renew Flagstaff)","Flagstaff","AZ","86001","Multifamily","Garden","1972",132,"0.947","1757","2095041.62","1886415.82","41300000","35.2019","-111.63354","1431","76872",3142443,2796790,"Arizona","0.04567592784503631961","43","1534.0182556619718310","0.14535794702247875314","0.27427411801436153606","0.8714285714285714","0.89000500565960941853"
"The Venue On Camelback","Phoenix","AZ","85016","Multifamily","Garden","1970",415,"0.947","1085.7","3682692.82","3671621.95","80600000","33.50933","-112.0399","1431","76872",3142443,2796790,"Arizona","0.04555362220843672457","44","1534.0182556619718310","-0.29225092596340057924","0.16948173587261941929","0.2571428571428571","0.89000500565960941853"
"Mission Springs","Tempe","AZ","85283","Multifamily","Garden","1987",306,"0.899","1370.03","3473379.74","3290796.5","73400000","33.37816","-111.95836","1431","76872",3142443,2796790,"Arizona","0.04483373978201634877","45","1534.0182556619718310","-0.10690111089402016724","0.21386668748048704340","0.5285714285714286","0.89000500565960941853"
"Ora Apartments","Peoria","AZ","85382","Multifamily","Garden","2003",336,"0.938","1680.45","5110234.84","5028961.52","113000000","33.66161","-112.23597","1431","76872",3142443,2796790,"Arizona","0.04450408424778761062","46","1534.0182556619718310","0.09545632445869346654","0.26232438339057133937","0.8428571428571429","0.89000500565960941853"
"Sky Island Apartment Homes","Sierra Vista","AZ","85635","Multifamily","Garden","1985",196,"0.862","829.79","1108836.88","903724.07","20400000","31.56362","-110.29398","1431","76872",3142443,2796790,"Arizona","0.04430019950980392157","47","1534.0182556619718310","-0.45907423400126201220","0.12953325007805182641","0.08571428571428572","0.89000500565960941853"
"Arches At Hidden Creek","Chandler","AZ","85224","Multifamily","Garden","1985",432,"0.905","1466.75","5902402.63","5660880.25","129400000","33.30341","-111.86972","1431","76872",3142443,2796790,"Arizona","0.04374714258114374034","48","1534.0182556619718310","-0.04385101377619766012","0.22896503278176709335","0.6285714285714286","0.89000500565960941853"
"The Place At El Prado","Mesa","AZ","85202","Multifamily","Garden","1979",432,"0.94","1342","4703093.21","4381686","101300000","33.39507","-111.86465","1431","76872",3142443,2796790,"Arizona","0.04325455083909180652","49","1534.0182556619718310","-0.12517338366296728133","0.20949110209178894786","0.4714285714285714","0.89000500565960941853"
"Montecito Apartments","Phoenix","AZ","85020","Multifamily","Garden","1983",92,"0.935","1360","1004850.98","957027.22","22350000","33.57478","-112.05445","1431","76872",3142443,2796790,"Arizona","0.04282000984340044743","50","1534.0182556619718310","-0.11343949462118889911","0.21230096784264751795","0.5142857142857142","0.89000500565960941853"
"Clearwater Ahwatukee","Phoenix","AZ","85048","Multifamily","Assisted Living","2016",137,"0.985","4681.78","2858609.37","2119666.92","49700000","33.30266","-111.97594","1431","76872",3142443,2796790,"Arizona","0.04264923380281690141","51","1534.0182556619718310","2.0519715021120663","0.73084295972525757103","0.9714285714285714","0.89000500565960941853"
"The Place At Creekside","Tucson","AZ","85748","Multifamily","Garden","2011",352,"0.855","1395.74","3384316.46","3463664","82100000","32.23553","-110.7801","1431","76872",3142443,2796790,"Arizona","0.04218835566382460414","52","1534.0182556619718310","-0.09014120604601337797","0.21788011239463003434","0.5571428571428572","0.89000500565960941853"
"The Perry","Glendale","AZ","85301","Multifamily","Garden","1985",148,"0.973","1278.67","1630317","1366984","32500000","33.52802","-112.20299","1431","76872",3142443,2796790,"Arizona","0.04206104615384615385","53","1534.0182556619718310","-0.16645711660829088943","0.19960505775835154543","0.38571428571428573","0.89000500565960941853"
"Terra Vida","Mesa","AZ","85202","Multifamily","Garden","1988",384,"0.961","1345.75","4203185.82","3960339","94600000","33.41185","-111.88538","1431","76872",3142443,2796790,"Arizona","0.04186404862579281184","54","1534.0182556619718310","-0.12272882344593011837","0.21007649078988448330","0.4857142857142857","0.89000500565960941853"
"Village At Lindsay Park","Mesa","AZ","85204","Multifamily","Garden","1997",256,"0.961","1532.58","3370432.86","3111017.96","74500000","33.38869","-111.77111","1431","76872",3142443,2796790,"Arizona","0.04175863033557046980","55","1534.0182556619718310","-0.00093757401951594338","0.23924133624726818608","0.7","0.89000500565960941853"
"Red Sage Apartments","Phoenix","AZ","85031","Multifamily","Garden","1985",156,"0.929","1355","1775683.64","1439906.78","34900000","33.48063","-112.18216","1431","76872",3142443,2796790,"Arizona","0.04125807392550143266","56","1534.0182556619718310","-0.11669890824390511639","0.21152044957852013737","0.5","0.89000500565960941853"
"Eastyn Park Apartments","Tucson","AZ","85710","Multifamily","Garden","1973",279,"0.885","1043","1844021.72","1809823.12","45400000","32.22112","-110.84595","1431","76872",3142443,2796790,"Arizona","0.03986394537444933921","57","1534.0182556619718310","-0.32008631830139707483","0.16281610989697158914","0.22857142857142856","0.89000500565960941853"
"Palisade Park","Phoenix","AZ","85015","Multifamily","Garden","1972",214,"0.939","1200.28","1994882.55","1844462.42","46400000","33.48181","-112.11258","1431","76872",3142443,2796790,"Arizona","0.03975134525862068966","58","1534.0182556619718310","-0.21755820338523574399","0.18736809241336247268","0.3","0.89000500565960941853"
"Ridgewood Garden Apartments","Tucson","AZ","85730","Multifamily","Garden","1970",171,"0.9824","998","1069674.8","1120357.63","28300000","32.18376","-110.82396","1431","76872",3142443,2796790,"Arizona","0.03958860883392226148","59","1534.0182556619718310","-0.34942104090584303038","0.15579144551982516391","0.18571428571428572","0.89000500565960941853"
"Dimension On 27th","Phoenix","AZ","85017","Multifamily","Garden","1982",260,"0.923","995","2209495.27","1863062.07","47100000","33.52668","-112.1168","1431","76872",3142443,2796790,"Arizona","0.03955545796178343949","60","1534.0182556619718310","-0.35137668907947276075","0.15532313456134873556","0.17142857142857143","0.89000500565960941853"
"Crestone At Shadow Mountain","Phoenix","AZ","85032","Multifamily","Garden","1992",248,"0.948","1564.92","3475867.68","3117772.99","79300000","33.61142","-112.01667","1431","76872",3142443,2796790,"Arizona","0.03931617894073139975","61","1534.0182556619718310","0.02014431329221255000","0.24428972837964408367","0.7142857142857143","0.89000500565960941853"
"Serena Park","Glendale","AZ","85302","Multifamily","Garden","1985",141,"0.936","1212","1465935.08","1156088","29700000","33.56155","-112.18634","1431","76872",3142443,2796790,"Arizona","0.03892552188552188552","62","1534.0182556619718310","-0.20991813785358893068","0.18919762722447705276","0.3142857142857143","0.89000500565960941853"
"Brookfield Apartments","Phoenix","AZ","85029","Multifamily","Garden","1984",124,"0.952","1220","1334303.85","1215814.24","31900000","33.59517","-112.15124","1431","76872",3142443,2796790,"Arizona","0.03811329905956112853","63","1534.0182556619718310","-0.20470307605724298303","0.19044645644708086169","0.34285714285714286","0.89000500565960941853"
"Desert Mirage","Gilbert","AZ","85233","Multifamily","Garden","1999",258,"0.977","1621","3520979.01","3253213.44","86000000","33.36418","-111.81798","1431","76872",3142443,2796790,"Arizona","0.03782806325581395349","64","1534.0182556619718310","0.05670189648459764305","0.25304402123009678426","0.8142857142857143","0.89000500565960941853"
"Tides On South Mill","Tempe","AZ","85282","Multifamily","Garden","1969",515,"0.911","1318.79","5721719.28","5420163","147800000","33.38956","-111.93964","1431","76872",3142443,2796790,"Arizona","0.03667228010825439783","65","1534.0182556619718310","-0.14030358169961596195","0.20586793630970964721","0.45714285714285713","0.89000500565960941853"
"Terracina, La Mirada & Villa Serena","Yuma","AZ","85364","Multifamily","Garden","Various",240,"0.979","973.8","1746168.58","1236473.72","35000000",NULL,NULL,"1431","76872",3142443,2796790,"Arizona","0.03532782057142857143","66","1534.0182556619718310","-0.36519660283978952202","0.15201373712144864190","0.14285714285714285","0.89000500565960941853"
"Vantage Point","Gilbert","AZ","85234","Multifamily","Garden","1984",80,"0.888","1430.81","1037739.11","799936.19","23500000","33.3676","-111.79001","1431","76872",3142443,2796790,"Arizona","0.03403983787234042553","67","1534.0182556619718310","-0.06727967889628182995","0.22335466749921948174","0.6","0.89000500565960941853"
"Longhaven Estates","Phoenix","AZ","85031","Multifamily","MHC Age Restricted","1965",314,"0.943","615","1358767.24","1270444.89","50000000","33.50687","-112.17126","1431","76872",3142443,2796790,"Arizona","0.02540889780000000000","68","1534.0182556619718310","-0.59909212440590527423","0.09600374648766781143","0.014285714285714285","0.89000500565960941853"
"Marana Apartments","Marana","AZ","85653","Multifamily","Garden","2003",80,"0.988","1027","579538.72","417782.54","16500000","32.44936","-111.20856","1431","76872",3142443,2796790,"Arizona","0.02532015393939393939","69","1534.0182556619718310","-0.33051644189408897014","0.16031845145176397128","0.21428571428571427","0.89000500565960941853"
"The Molino","Tempe","AZ","85283","Multifamily","Garden","1982",141,"0.879","1234","1429105.7","848646.94","35700000","33.37773","-111.96528","1431","76872",3142443,2796790,"Arizona","0.02377162296918767507","70","1534.0182556619718310","-0.19557671791363757463","0.19263190758663752732","0.35714285714285715","0.89000500565960941853"
"Bradshaw Vista Apartments","Wickenburg","AZ","85390","Multifamily","Garden","2004",48,"0.979","1016","319251.89","227311.73","12900000","33.98147","-112.74064","1431","76872",3142443,2796790,"Arizona","0.01762106434108527132","71","1534.0182556619718310","-0.33768715186406464816","0.15860131127068373400","0.2","0.89000500565960941853"
"Holiday By Atria Simi Hills","Simi Valley","CA","93065","Multifamily","Independent Living","2006",98,"0.928571429","4207.061224","1745254.79","1970488","27300000","34.25656","-118.80849","1956","96334",14532683,13434847,"California","0.07217904761904761905","1","2339.5527564235294118","0.79823310778053486629","0.52405936313243506965","0.9285714285714286","0.92445744533201474222"
"The Landing","Ontario","CA","91761","Multifamily","Garden","1986",156,"0.981","1992.75","2157892.57","2540594.8","35590000","34.02323","-117.57789","1956","96334",14532683,13434847,"California","0.07138507445911772970","2","2339.5527564235294118","-0.14823463821080326289","0.24823011605456017605","0.38095238095238093","0.92445744533201474222"
"Atria Covell Gardens","Davis","CA","95616","Multifamily","Assisted Living","1987",157,"0.821656051","6005","4009391.12","4253544","61200000","38.56218","-121.76277","1956","96334",14532683,13434847,"California","0.06950235294117647059","3","2339.5527564235294118","1.5667298946401337","0.74802250503456723483","0.9880952380952381","0.92445744533201474222"
"Holiday By Atria Golden Oaks","Yucaipa","CA","92399","Multifamily","Independent Living","2008",120,"0.958333333","3629.341667","2146353.44","2502437","36400000","34.03114","-117.0758","1956","96334",14532683,13434847,"California","0.06874826923076923077","4","2339.5527564235294118","0.55129721141581301641","0.45209479523325098096","0.9166666666666666","0.92445744533201474222"
"Atria Del Rey","Rancho Cucamonga","CA","91730","Multifamily","Assisted Living","1987",99,"0.828282828","4742.575758","1741089.57","1807235","26900000","34.12147","-117.61373","1956","96334",14532683,13434847,"California","0.06718345724907063197","5","2339.5527564235294118","1.0271292215910395","0.59076659430730583179","0.9404761904761905","0.92445744533201474222"
"The Pointe And The Villas","Santee","CA","92071","Multifamily","Independent Living","2014",114,"1","5138.98","3321603.83","3536442.25","56300000","32.83327","-116.95825","1956","96334",14532683,13434847,"California","0.06281424955595026643","6","2339.5527564235294118","1.1965651280529149","0.64014532771399505886","0.9761904761904762","0.92445744533201474222"
"Arroyo Vista","San Diego","CA","92114","Multifamily","Garden","1986",56,"0.964","1995.63","867554.3","1040943","16900000","32.69803","-117.02613","1956","96334",14532683,13434847,"California","0.06159426035502958580","7","2339.5527564235294118","-0.14700363369846961010","0.24858886789710797849","0.39285714285714285","0.92445744533201474222"
"Geneva Village Apartments","Fresno","CA","93706","Multifamily","Garden","2007",142,"0.993","718.45","860562.59","896177.31","14740000","36.71406","-119.79248","1956","96334",14532683,13434847,"California","0.06079900339213025780","8","2339.5527564235294118","-0.69291139170621081632","0.08949488238835717400","0.03571428571428571","0.92445744533201474222"
"Atria Del Sol","Mission Viejo","CA","92692","Multifamily","Assisted Living","1985",90,"0.877777778","6709.066667","1985814.93","2065795","34600000","33.61743","-117.6511","1956","96334",14532683,13434847,"California","0.05970505780346820809","9","2339.5527564235294118","1.8676706043834376","0.83572570436190753005","1","0.92445744533201474222"
"Happy Valley City Lights","Los Angeles","CA","90032","Multifamily","Garden","2003",70,"0.971","1800","1114137.4","1275793.75","21730000","34.07747","-118.19337","1956","96334",14532683,13434847,"California","0.05871117119190059825","10","2339.5527564235294118","-0.23062217979146700449","0.22421990159237652335","0.2857142857142857","0.92445744533201474222"
"The Reserve At Rancho Belago","Moreno Valley","CA","92555","Multifamily","Garden","2005",176,"0.977","2145.49","2981380.43","2963509.5","53600000","33.90086","-117.17388","1956","96334",14532683,13434847,"California","0.05528935634328358209","11","2339.5527564235294118","-0.08294865584488585748","0.26725642037079328171","0.5119047619047619","0.92445744533201474222"
"Pacific Pines","Pacifica","CA","94044","Multifamily","Garden","2004",10,"1","2590","153228.7","165554","3000000","37.62875","-122.48981","1956","96334",14532683,13434847,"California","0.05518466666666666667","12","2339.5527564235294118","0.10704919685561136576","0.32262752506903066415","0.6785714285714286","0.92445744533201474222"
"La Vista Apartment Homes","Santa Maria","CA","93458","Multifamily","Garden","1978",460,"0.867","2035.28","6780951.78","7190389","130300000","34.94546","-120.44936","1956","96334",14532683,13434847,"California","0.05518333844973138910","13","2339.5527564235294118","-0.13005595004776498050","0.25352793406274005024","0.44047619047619047","0.92445744533201474222"
"Sagewood At Stonebridge Estates","San Diego","CA","92131","Multifamily","Garden","2006",106,"0.981","1711","1429090.14","1482468.91","26950000","32.92621","-117.01637","1956","96334",14532683,13434847,"California","0.05500812282003710575","14","2339.5527564235294118","-0.26866363867955558038","0.21313347312475346191","0.25","0.92445744533201474222"
"Newport Palms Apartments (fka Camden Sea Palms)","Costa Mesa","CA","92627","Multifamily","Garden","1989",138,"0.942","2676.25","2849349.34","3407295.1","61950000","33.64174","-117.94053","1956","96334",14532683,13434847,"California","0.05500072800645682002","15","2339.5527564235294118","0.14391521740727023846","0.33337139535366537256","0.7380952380952381","0.92445744533201474222"
"Village Square","La Jolla","CA","92037","Multifamily","Garden","1979",116,"0.948","2287.16","2175237.85","2294071","42380000","32.86425","-117.23336","1956","96334",14532683,13434847,"California","0.05413098159509202454","16","2339.5527564235294118","-0.02239434707325093000","0.28490377229223327174","0.5476190476190477","0.92445744533201474222"
"Gateway City Lights","Los Angeles","CA","90044","Multifamily","Garden","2001",72,"0.972","1655","981246.3","1072815.29","19880000","33.91752","-118.28327","1956","96334",14532683,13434847,"California","0.05396455181086519115","17","2339.5527564235294118","-0.29259983753048771802","0.20615774285299063674","0.2261904761904762","0.92445744533201474222"
"Barclay Square Apartment Homes","San Diego","CA","92117","Multifamily","Garden","1968",270,"0.974","2296.5","4234429.46","4909914.42","91100000","32.82079","-117.17436","1956","96334",14532683,13434847,"California","0.05389587727771679473","18","2339.5527564235294118","-0.01840213105061331990","0.28606722444827371437","0.5595238095238095","0.92445744533201474222"
"Tides At Grand Terrace","Colton","CA","92324","Multifamily","Garden","1986",366,"0.907","1862.9","5327721.12","5560610","103200000","34.04851","-117.29943","1956","96334",14532683,13434847,"California","0.05388187984496124031","19","2339.5527564235294118","-0.20373669929640215704","0.23205514148691012519","0.34523809523809523","0.92445744533201474222"
"The Plaza At Lantern Crest","Santee","CA","92071","Multifamily","Independent Living","2021",113,"0.920353982","5036.8","3485867.8","3199521.84","59500000","32.84141","-116.95567","1956","96334",14532683,13434847,"California","0.05377347630252100840","20","2339.5527564235294118","1.1528901137924106","0.62741711130026781822","0.9642857142857143","0.92445744533201474222"
"The Oaks At Nipomo","Nipomo","CA","93444","Multifamily","Assisted Living","2017",97,"0.959","4842.93","1563418.4","1649462","30800000","35.03739","-120.4879","1956","96334",14532683,13434847,"California","0.05355396103896103896","21","2339.5527564235294118","1.0700238482347282","0.60326738223264890900","0.9523809523809523","0.92445744533201474222"
"Mission Palms II","Riverside","CA","92509","Multifamily","Age Restricted","2007",92,"0.989","893.88","331990.93","358304.12","6700000","34.00056","-117.41372","1956","96334",14532683,13434847,"California","0.05347822686567164179","22","2339.5527564235294118","-0.61792697448444251443","0.11134760313077418149","0.05952380952380952","0.92445744533201474222"
"The Paseos At Magnolia Apartments","Riverside","CA","92505","Multifamily","Garden","2013",168,"0.946","2333.93","2859975.21","2925869","56400000","33.89757","-117.48463","1956","96334",14532683,13434847,"California","0.05187710992907801418","23","2339.5527564235294118","-0.00240334671149921433","0.29072975273527518841","0.5714285714285714","0.92445744533201474222"
"Vercanta Newport Beach","Newport Beach","CA","92660","Multifamily","Garden","1969",147,"0.966","2488.47","2686998.98","3098369.78","60200000","33.6607","-117.88481","1956","96334",14532683,13434847,"California","0.05146793654485049834","24","2339.5527564235294118","0.06365201347462672407","0.30998027695310067058","0.6071428571428571","0.92445744533201474222"
"Trails At 2112","Modesto","CA","95355","Multifamily","Garden","1985",97,"0.959","1934","1572143.59","1481454.04","28900000","37.67798","-120.95953","1956","96334",14532683,13434847,"California","0.05126138546712802768","25","2339.5527564235294118","-0.17334627539816510372","0.24091182759980899786","0.36904761904761907","0.92445744533201474222"
"Concord Villas","Riverside","CA","92503","Multifamily","Garden","1988",54,"1","2103","918401.16","911787.6","17800000","33.9151","-117.45323","1956","96334",14532683,13434847,"California","0.05122402247191011236","26","2339.5527564235294118","-0.10111024672303061692","0.26196358502709323811","0.47619047619047616","0.92445744533201474222"
"Cielo Vista Apartments","Rialto","CA","92335","Multifamily","Garden","2008",120,"0.975","1733.38","1698453.02","1669529.41","32700000","34.09959","-117.40339","1956","96334",14532683,13434847,"California","0.05105594525993883792","27","2339.5527564235294118","-0.25909770778162948680","0.21592127390121867669","0.2619047619047619","0.92445744533201474222"
"Mission Palms I","Riverside","CA","92509","Multifamily","Age Restricted","2004",109,"0.972","982.07","389398.39","397781.15","7800000","34.00056","-117.41372","1956","96334",14532683,13434847,"California","0.05099758333333333333","28","2339.5527564235294118","-0.58023173561544777839","0.12233313264268067349","0.08333333333333333","0.92445744533201474222"
"Angels City Lights","Los Angeles","CA","91401","Multifamily","Garden","2001",49,"0.9592","1800","708226.97","743654.93","14600000","34.17949","-118.43591","1956","96334",14532683,13434847,"California","0.05093526917808219178","29","2339.5527564235294118","-0.23062217979146700449","0.22421990159237652335","0.2857142857142857","0.92445744533201474222"
"Park Regency Club Apartments","Downey","CA","90242","Multifamily","Garden","1971",460,"0.93","2130","7726367.43","7573090","149500000","33.91693","-118.11435","1956","96334",14532683,13434847,"California","0.05065612040133779264","30","2339.5527564235294118","-0.08956957941990262198","0.26532688355097888596","0.4880952380952381","0.92445744533201474222"
"College Park Apartments","Upland","CA","91786","Multifamily","Garden","2009",448,"0.953","2606","9874558.55","9849514","194700000","34.09685","-117.70063","1956","96334",14532683,13434847,"California","0.05058815613764766307","31","2339.5527564235294118","0.11388811081302054794","0.32462059086096289991","0.6904761904761905","0.92445744533201474222"
"Valle Verde","Orange Cove","CA","93646","Multifamily","Garden","2004",73,"0.945","903.99","182176.47","188570.14","3770000","36.62223","-119.30699","1956","96334",14532683,13434847,"California","0.05001860477453580902","32","2339.5527564235294118","-0.61360563572760458744","0.11260697157805136297","0.07142857142857142","0.92445744533201474222"
"Rosina Vista","Chula Vista","CA","91913","Multifamily","Garden","2012",278,"0.971","2755.31","6161709.7","6615482","134540000","32.61872","-116.98597","1956","96334",14532683,13434847,"California","0.04917111639661067341","33","2339.5527564235294118","0.17770800099931835992","0.34321963169805053252","0.7738095238095238","0.92445744533201474222"
"Mission City Lights","Los Angeles","CA","91343","Multifamily","Mid Rise","2001",46,"0.978","1682","573820.12","598786","12210000",NULL,NULL,"1956","96334",14532683,13434847,"California","0.04904062244062244062","34","2339.5527564235294118","-0.28105917022735972309","0.20952104137687628459","0.23809523809523808","0.92445744533201474222"
"Oceanview Terrace","San Diego","CA","92154","Multifamily","Garden","2013",202,"0.96","3118.33","5059281.6","5267666.29","107700000","32.58941","-117.03149","1956","96334",14532683,13434847,"California","0.04891055051067780873","35","2339.5527564235294118","0.33287441005048594216","0.38843980318475304669","0.8452380952380952","0.92445744533201474222"
"Courtland City Lights","Los Angeles","CA","90026","Multifamily","Mid Rise","2000",92,"1","1527","1059431.23","1075241.29","22000000","34.06451","-118.25748","1956","96334",14532683,13434847,"California","0.04887460409090909091","36","2339.5527564235294118","-0.34731114918976117548","0.19021321651753275064","0.17857142857142858","0.92445744533201474222"
"C Plus C Flats","Chula Vista","CA","91910","Multifamily","Garden","2021",43,"1","2422","753236.24","932381.61","19100000","32.64026","-117.07948","1956","96334",14532683,13434847,"California","0.04881579109947643979","37","2339.5527564235294118","0.03524060030281495284","0.30170033425374218864","0.5952380952380952","0.92445744533201474222"
"Golden West MHC","Kerman","CA","93630","Multifamily","Manufactured Housing Community","1973",109,"0.982","633.86","535547.04","539857.63","11400000","36.73235","-120.06003","1956","96334",14532683,13434847,"California","0.04735593245614035088","38","2339.5527564235294118","-0.72906787493478848637","0.07895779267963543505","0.023809523809523808","0.92445744533201474222"
"Vive On The Park","San Diego","CA","92123","Multifamily","Mid Rise","2017",550,"0.951","3121.06","14032031.58","13393071.22","283000000","32.82703","-117.13952","1956","96334",14532683,13434847,"California","0.04732534000000000000","39","2339.5527564235294118","0.33404129974446888386","0.38877987003550148442","0.8571428571428571","0.92445744533201474222"
"Vercanta Pleasanton","Pleasanton","CA","94566","Multifamily","Garden","1989",150,"0.973","2683","3068442","2852138.19","60300000","37.67652","-121.87635","1956","96334",14532683,13434847,"California","0.04729914079601990050","40","2339.5527564235294118","0.14680038423305223719","0.33421221998463678452","0.75","0.92445744533201474222"
"University Gateway","Los Angeles","CA","90007","Multifamily","Student","2010",1656,"0.958","1198","15227388.48","14090134","298000000","34.02231","-118.27985","1956","96334",14532683,13434847,"California","0.04728232885906040268","41","2339.5527564235294118","-0.48793631743898748410","0.14923080117092615276","0.13095238095238096","0.92445744533201474222"
"Lido Apartment Homes","San Bernardino","CA","92407","Multifamily","Garden","1988",336,"0.92","1641.22","3415090.67","3672378.66","77700000","34.16747","-117.31215","1956","96334",14532683,13434847,"California","0.04726356061776061776","42","2339.5527564235294118","-0.29848985217630637617","0.20444121493968899869","0.21428571428571427","0.92445744533201474222"
"The Villages Of Monterey","Oceanside","CA","92056","Multifamily","Garden","1989",424,"0.953","2272.51","7629402.66","8001054.18","170250000","33.21489","-117.31567","1956","96334",14532683,13434847,"California","0.04699591295154185022","43","2339.5527564235294118","-0.02865622766550371243","0.28307887142649531837","0.5357142857142857","0.92445744533201474222"
"The Parc Apartment Homes","Vacaville","CA","95687","Multifamily","Garden","1986",176,"0.938","2061.76","2882597.99","2974263.39","63620000","38.35192","-121.95479","1956","96334",14532683,13434847,"California","0.04675044624331971078","44","2339.5527564235294118","-0.11873754744825278399","0.25682645794838790043","0.4523809523809524","0.92445744533201474222"
"Greenfield Village","San Diego","CA","92154","Multifamily","Garden","2007",644,"0.957","2615.18","12269347.51","12660243","271100000","32.57034","-117.0123","1956","96334",14532683,13434847,"California","0.04669953153817779417","45","2339.5527564235294118","0.11781193769608406622","0.32576411235908402018","0.7023809523809523","0.92445744533201474222"
"Park La Brea Apartments","Los Angeles","CA","90036","Multifamily","High Rise","1941",4249,"0.959284538","2534.84","80420149.28","85366589.1","1843000000","34.07092","-118.35774","1956","96334",14532683,13434847,"California","0.04631936467715680955","46","2339.5527564235294118","0.08347204098744321018","0.31575643075134428135","0.6309523809523809","0.92445744533201474222"
"Park Pointe","El Cajon","CA","92019","Multifamily","Garden","1984",676,"0.959","2509.3","13073476.68","12481216","270300000","32.7457","-116.92574","1956","96334",14532683,13434847,"California","0.04617541990381058084","47","2339.5527564235294118","0.07255542458292880313","0.31257499948097245002","0.6190476190476191","0.92445744533201474222"
"Atrium Court","Sacramento","CA","95834","Multifamily","Garden","2004",224,"0.982","1256","2231049.35","2095043.45","45590000","38.63856","-121.52635","1956","96334",14532683,13434847,"California","0.04595401294143452512","48","2339.5527564235294118","-0.46314525434337919869","0.15645566466668050740","0.15476190476190477","0.92445744533201474222"
"Pioneer 2000 Apartments","Santa Rosa","CA","95403","Multifamily","Garden","1986",178,"0.944","2020.59","2598141.88","2686233.42","58580000","38.46865","-122.75948","1956","96334",14532683,13434847,"California","0.04585581119836121543","49","2339.5527564235294118","-0.13633492792491128589","0.25169805053252226628","0.42857142857142855","0.92445744533201474222"
"Cero Townhomes","San Bernardino","CA","92411","Multifamily","Townhome","1987",80,"0.975","2550.8","1591267.53","1294571.61","28300000","34.13157","-117.33018","1956","96334",14532683,13434847,"California","0.04574457985865724382","50","2339.5527564235294118","0.09029385765995886941","0.31774451387879668653","0.6428571428571429","0.92445744533201474222"
"NC Raymondale a/k/a Terraces At South Pasadena","South Pasadena","CA","91030","Multifamily","Garden","1959",53,"1","2087.17","859679.28","899643.31","19850000","34.12095","-118.14807","1956","96334",14532683,13434847,"California","0.04532208110831234257","51","2339.5527564235294118","-0.10787649721964232654","0.25999169555920028235","0.4642857142857143","0.92445744533201474222"
"Huntington Hacienda I","Los Angeles","CA","90032","Multifamily","Garden","1989",57,"0.965","1842","791607.53","793482","17550000","34.08538","-118.1843","1956","96334",14532683,13434847,"California","0.04521264957264957265","52","2339.5527564235294118","-0.21267003065326790126","0.22945169929619864222","0.32142857142857145","0.92445744533201474222"
"Refugio Townhomes","Santa Maria","CA","93455","Multifamily","Townhome","2018",125,"0.936","3007","3007563.67","2953663","65400000",NULL,NULL,"1956","96334",14532683,13434847,"California","0.04516304281345565749","53","2339.5527564235294118","0.28528839187058817638","0.37457180227126455872","0.8333333333333334","0.92445744533201474222"
"Fountains At Point West","Sacramento","CA","95815","Multifamily","Garden","1974",339,"0.914","1863.49","4747696.14","4551529","101120000","38.59785","-121.43181","1956","96334",14532683,13434847,"California","0.04501116495253164557","54","2339.5527564235294118","-0.20348451434422269345","0.23212863578798762638","0.35714285714285715","0.92445744533201474222"
