"property name","property city","property state","zip code","property type","property subtype","year built","total units","occupancy %","monthly rent per unit","uw noi","most recent noi","appraised value","latitude","longitude","gross_rent_median","household_income_median","housing_units_occupancy_status_total_count","housing_units_occupied_count","state_name","cap_rate","cap_rate_rank_state","median_rent","rent_perc_diff","rent_affordability_ratio","rent_affordability_percentile","State Occupancy Rate"
"Huntington Meadows","Austin","TX","78724","Multifamily","Garden","1998",200,"0.975","1529.8","2075047.73","1403435.76","40100000","30.2943","-97.62611","1339","76292",11890808,10747240,"Texas","0.03499839800498753117","160","1428.4425318633879781","0.07095662994883825721","0.24062287002569076705","0.7142857142857143","0.90382756159211384121"
"Summer Gate","Irving","TX","75038","Multifamily","Garden","1981",176,"0.909","1140","1041832.76","931175","26900000","32.85889","-96.99208","1339","76292",11890808,10747240,"Texas","0.03461617100371747212","161","1428.4425318633879781","-0.20192799180175473054","0.17931106800188748493","0.2967032967032967","0.90382756159211384121"
"The Premier At Prestonwood","Dallas","TX","75254","Multifamily","Garden","1995",208,"0.976","1703.96","2319091.89","1688529.02","50000000","32.95021","-96.80373","1339","76292",11890808,10747240,"Texas","0.03377058040000000000","162","1428.4425318633879781","0.19287963078024737662","0.26801656792324227966","0.8406593406593407","0.90382756159211384121"
"Baypointe Apartments","Webster","TX","77598","Multifamily","Garden","2007",236,"0.966","1069.45","1041955.7","1005402.68","30110000","29.52227","-95.11872","1339","76292",11890808,10747240,"Texas","0.03339098904018598472","163","1428.4425318633879781","-0.25131744809858473384","0.16821422953913909715","0.22527472527472528","0.90382756159211384121"
"Addison Medical Center","San Antonio","TX","78229","Multifamily","Mid Rise","2018",217,"0.926","1548","2056901.62","1712736","51500000","29.51156","-98.59155","1339","76292",11890808,10747240,"Texas","0.03325700970873786408","164","1428.4425318633879781","0.08369777955340673432","0.24348555549729984795","0.7417582417582418","0.90382756159211384121"
"Parkside At Round Rock","Round Rock","TX","78665","Multifamily","Garden","2020",432,"0.930555556","1480.88","3592857.42","3123403.93","94100000","30.54331","-97.65134","1339","76292",11890808,10747240,"Texas","0.03319239032943676939","165","1428.4425318633879781","0.03670953991282232863","0.23292822314266240235","0.6703296703296703","0.90382756159211384121"
"Maverick On Eastman","Longview","TX","75601","Multifamily","Garden","1972",128,"0.891","1088.01","656211.26","485270","14800000","32.52018","-94.71589","1339","76292",11890808,10747240,"Texas","0.03278851351351351351","166","1428.4425318633879781","-0.23832427575458523191","0.17113353955853824778","0.24175824175824176","0.90382756159211384121"
"Stoneridge Apartments","Pflugerville","TX","78660","Multifamily","Garden","2003",256,"0.90625","1540.46","2701257.75","1663859.14","51800000","30.45623","-97.63536","1339","76292",11890808,10747240,"Texas","0.03212083281853281853","167","1428.4425318633879781","0.07841930328865693666","0.24229958580191894301","0.7252747252747253","0.90382756159211384121"
"Bridge At Indigo","Austin","TX","78717","Multifamily","Garden","2012",325,"0.917","1625","4887627.16","3071127.59","95900000","30.48204","-97.7896","1339","76292",11890808,10747240,"Texas","0.03202427101147028154","168","1428.4425318633879781","0.13760264326504259901","0.25559691710795365176","0.7912087912087912","0.90382756159211384121"
"Monarch Pass","Fort Worth","TX","76119","Multifamily","Garden","1983",784,"0.935","1250","7538600.95","6048230.95","197600000","32.68253","-97.29775","1339","76292",11890808,10747240,"Texas","0.03060845622469635628","169","1428.4425318633879781","-0.12492104364227492384","0.19661301315996434751","0.4010989010989011","0.90382756159211384121"
